feeder,start_time,end_time,outage_duration_minutes
8 MILES,2023-09-22 09:30:00.0000000,2023-09-22 10:00:00.0000000,30
8 MILES,2023-09-22 22:30:00.0000000,2023-09-23 11:00:00.0000000,750
8 MILES,2023-09-23 17:00:00.0000000,2023-09-23 18:00:00.0000000,60
8 MILES,2023-09-23 20:30:00.0000000,2023-09-23 21:30:00.0000000,60
8 MILES,2023-09-24 07:00:00.0000000,2023-09-24 07:00:00.0000000,0
8 MILES,2023-09-25 13:00:00.0000000,2023-09-25 13:00:00.0000000,0
8 MILES,2023-09-26 04:30:00.0000000,2023-09-26 04:30:00.0000000,0
8 MILES,2023-09-26 08:00:00.0000000,2023-09-26 08:00:00.0000000,0
8 MILES,2023-09-29 05:00:00.0000000,2023-09-29 09:00:00.0000000,240
8 MILES,2023-09-29 19:30:00.0000000,2023-09-29 20:00:00.0000000,30
8 MILES,2023-09-30 13:00:00.0000000,2023-09-30 13:00:00.0000000,0
8 MILES,2023-10-01 22:30:00.0000000,2023-10-01 23:00:00.0000000,30
8 MILES,2023-10-02 05:00:00.0000000,2023-10-02 06:30:00.0000000,90
8 MILES,2023-10-02 09:00:00.0000000,2023-10-02 11:30:00.0000000,150
8 MILES,2023-10-02 16:00:00.0000000,2023-10-02 16:00:00.0000000,0
8 MILES,2023-10-03 18:00:00.0000000,2023-10-03 19:30:00.0000000,90
8 MILES,2023-10-03 22:30:00.0000000,2023-10-03 23:00:00.0000000,30
8 MILES,2023-10-04 15:30:00.0000000,2023-10-04 18:00:00.0000000,150
8 MILES,2023-10-04 22:00:00.0000000,2023-10-05 00:30:00.0000000,150
8 MILES,2023-10-06 07:00:00.0000000,2023-10-06 07:00:00.0000000,0
8 MILES,2023-10-08 23:00:00.0000000,2023-10-08 23:00:00.0000000,0
8 MILES,2023-10-10 00:00:00.0000000,2023-10-10 00:00:00.0000000,0
8 MILES,2023-10-10 05:30:00.0000000,2023-10-10 07:30:00.0000000,120
8 MILES,2023-10-11 08:00:00.0000000,2023-10-11 11:00:00.0000000,180
8 MILES,2023-10-12 05:30:00.0000000,2023-10-12 06:30:00.0000000,60
8 MILES,2023-10-12 13:00:00.0000000,2023-10-12 13:00:00.0000000,0
8 MILES,2023-10-12 14:00:00.0000000,2023-10-12 14:00:00.0000000,0
8 MILES,2023-10-14 04:30:00.0000000,2023-10-14 05:30:00.0000000,60
8 MILES,2023-10-15 20:30:00.0000000,2023-10-16 00:00:00.0000000,210
8 MILES,2023-10-16 13:30:00.0000000,2023-10-16 15:30:00.0000000,120
8 MILES,2023-10-17 15:00:00.0000000,2023-10-17 15:00:00.0000000,0
8 MILES,2023-10-17 20:00:00.0000000,2023-10-17 20:00:00.0000000,0
8 MILES,2023-10-18 00:00:00.0000000,2023-10-18 00:00:00.0000000,0
8 MILES,2023-10-20 19:30:00.0000000,2023-10-20 23:00:00.0000000,210
8 MILES,2023-10-21 17:00:00.0000000,2023-10-21 19:30:00.0000000,150
8 MILES,2023-10-22 19:30:00.0000000,2023-10-22 20:30:00.0000000,60
8 MILES,2023-10-23 03:30:00.0000000,2023-10-23 03:30:00.0000000,0
8 MILES,2023-10-23 20:30:00.0000000,2023-10-23 20:30:00.0000000,0
8 MILES,2023-10-24 06:00:00.0000000,2023-10-24 07:00:00.0000000,60
8 MILES,2023-10-24 11:30:00.0000000,2023-10-24 12:00:00.0000000,30
8 MILES,2023-10-24 15:00:00.0000000,2023-10-24 15:30:00.0000000,30
8 MILES,2023-10-25 03:00:00.0000000,2023-10-25 06:00:00.0000000,180
8 MILES,2023-10-25 07:00:00.0000000,2023-10-25 07:00:00.0000000,0
8 MILES,2023-10-26 10:30:00.0000000,2023-10-26 10:30:00.0000000,0
